"filename", "language", "JavaScript", "XML", "PHP", "JSON", "CSS", "SCSS", "Markdown", "comment", "blank", "total"
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\icon-bulb.svg", "XML", 0, 37, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\logo-asana.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\logo-atlassian.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\logo-invision.svg", "XML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\logo-jira.svg", "XML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\logo-slack.svg", "XML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\logo-spotify.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\small-logos\logo-xd.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\chartjs.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 11, 1, 14
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\choices.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 10, 0, 12
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\core\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\core\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\core\popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 3, 2, 6
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\countup.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\datatables.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 7, 1, 9
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\docs.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 1, 35
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\js\docs.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 16, 0, 19
